t,mode,alive,sta_count,mismatch,action
1790081785,stock,2,2,0,baseline
1790081793,stock,1,1,0,none
1790081797,stock,1,1,0,none
1790081800,stock,2,2,0,none
1790081804,stock,2,2,0,none
1790081807,stock,2,2,0,none
1790081810,stock,2,2,0,none
1790081813,stock,2,2,0,none
1790081817,stock,2,2,0,none
1790081820,stock,2,2,0,none
1790081823,stock,2,2,0,none
1790081826,stock,2,2,0,none
1790081830,stock,2,2,0,none
1790081833,stock,2,2,0,none
